用户ID,用户姓名,商品ID,商品名称,商品类别,单价,购买时间,购买数量,消费金额,用户城市,用户性别,用户年龄
U8682,闵腾,P26703,收纳盒,家居,1719.76,2024-03-14 14:50:22,4,6879.04,重庆,男,22
U1800,江友,P47985,科幻小说,书籍,746.52,2024-02-05 18:12:02,1,746.52,重庆,女,28
U8578,华时子,P98979,香水,美妆,915.57,2024-08-12 23:45:59,4,3662.28,重庆,女,23
U9091,邓之维,P78553,运动鞋,服装,786.32,2024-08-11 17:47:04,3,2358.96,广州,男,60
U4707,余致冠,P36448,跑步鞋,运动,754.9,2024-09-02 02:54:57,4,3019.6,重庆,男,32
U7668,史辰伟,P77246,口红,美妆,383.61,2024-01-15 15:42:58,1,383.61,杭州,男,55
U8910,邬谦宁,P13450,心理学,书籍,771.49,2024-04-22 14:50:43,2,1542.98,北京,男,44
U6820,骆旭震,P50568,桌游,玩具,959.54,2024-05-26 21:29:11,5,4797.7,苏州,男,28
U4987,郁毅,P58736,面霜,美妆,264.27,2024-08-07 17:22:10,1,264.27,重庆,女,60
U1132,成栋盛,P13215,四件套,家居,795.32,2024-06-05 06:07:01,2,1590.64,上海,男,20
U6105,孟义之,P44109,连衣裙,服装,40.0,2024-07-11 08:08:52,4,160.0,南京,男,30
U5730,余义鹏,P34827,瑜伽垫,运动,476.02,2024-10-01 12:09:03,5,2380.1,杭州,男,21
U3504,樊宏学,P11607,连衣裙,服装,631.77,2024-05-14 03:51:01,1,631.77,武汉,男,49
U7422,狄承轮,P41535,瑜伽垫,运动,816.18,2024-04-23 16:35:15,5,4080.9,重庆,男,60
U4859,殷栋震,P43356,毛绒玩具,玩具,969.38,2024-08-15 21:44:31,2,1938.76,深圳,男,32
U8663,云奇树,P74699,历史书籍,书籍,335.13,2024-03-02 21:11:13,4,1340.52,广州,女,36
U5738,冯亮,P65454,智能手表,电子产品,9072.21,2024-01-25 15:29:28,3,27216.63,西安,男,47
U5404,吉斌,P57492,口红,美妆,114.0,2024-03-25 07:24:04,3,342.0,南京,男,30
U5978,昝福松,P77703,充电宝,电子产品,5615.5,2024-04-28 10:57:19,4,22462.0,天津,女,52
U1429,蒋保树,P59430,四件套,家居,1286.02,2024-02-04 08:13:14,4,5144.08,杭州,女,58
U1792,范和,P27347,充电宝,电子产品,3714.53,2024-11-04 00:59:51,5,18572.65,苏州,男,20
U3887,孔安超,P42396,桌游,玩具,693.43,2024-03-30 05:24:47,4,2773.72,苏州,男,45
U9673,酆斌昌,P84947,山地车,运动,249.69,2024-04-18 03:01:52,5,1248.45,天津,女,45
U7418,徐翰翰,P27402,沙发,家居,2763.55,2024-10-22 22:58:36,1,2763.55,上海,女,22
U1315,殷超,P97014,毛绒玩具,玩具,118.15,2024-03-18 10:05:01,3,354.45,天津,女,23
U6084,孟轮顺,P68117,遥控车,玩具,120.76,2024-11-16 06:42:03,3,362.28,深圳,女,55
U5766,韦朋兴,P30173,充电宝,电子产品,6795.19,2024-01-22 12:28:10,5,33975.95,西安,男,64
U7240,闵民泰,P89089,卫衣,服装,668.85,2024-07-04 03:27:49,1,668.85,杭州,女,42
U2329,谈学,P96198,化妆刷套装,美妆,579.19,2024-10-23 11:35:01,5,2895.95,天津,女,26
U9219,钱鸣,P39730,显示器,电子产品,2914.38,2024-12-22 09:24:01,2,5828.76,杭州,男,25
U8719,童鸣树,P64797,卫衣,服装,330.19,2024-04-09 06:59:17,3,990.57,重庆,女,57
U4273,邵德兴,P88169,技术教材,书籍,666.85,2024-10-06 08:56:57,2,1333.7,苏州,男,33
U4328,席群民,P12355,羽毛球拍,运动,975.77,2024-09-06 09:44:50,2,1951.54,天津,女,26
U8212,丁士谦,P66187,口红,美妆,973.83,2024-07-01 20:26:48,4,3895.32,苏州,女,38
U5642,经旭先,P29980,笔记本电脑,电子产品,2140.91,2024-08-12 03:07:36,1,2140.91,苏州,男,19
U3709,经康雄,P88959,运动鞋,服装,31.29,2024-04-28 00:59:34,2,62.58,西安,女,28
U3975,于士,P28773,抱枕,家居,2591.38,2024-09-18 16:28:03,1,2591.38,重庆,女,18
U6784,黄平政,P98837,香水,美妆,991.72,2024-02-03 03:40:51,1,991.72,天津,男,21
U9234,包腾奇,P15410,羽绒服,服装,636.51,2024-07-02 04:49:49,2,1273.02,武汉,男,49
U5436,曹德泰,P96313,跳绳,运动,787.5,2024-01-18 15:11:08,4,3150.0,南京,女,63
U3087,鲁杰厚,P54190,台灯,家居,1090.74,2024-03-31 03:16:46,3,3272.22,广州,女,53
U1921,元若元,P50403,人物传记,书籍,988.29,2024-09-13 19:45:03,2,1976.58,广州,男,18
U7960,皮和,P87199,面霜,美妆,946.52,2024-09-08 07:26:47,5,4732.6,广州,女,38
U6515,徐裕茂,P88851,面霜,美妆,184.15,2024-03-05 12:50:21,4,736.6,苏州,男,32
U8113,娄树江,P22015,台灯,家居,3369.09,2024-07-21 06:40:20,4,13476.36,深圳,男,43
U2957,萧彪胜,P62544,人物传记,书籍,425.15,2024-04-09 19:14:14,1,425.15,西安,女,53
U2320,严星,P96170,抱枕,家居,2506.09,2024-06-27 06:04:45,5,12530.45,天津,男,59
U5228,姜时和,P80097,羽毛球拍,运动,291.4,2024-10-25 22:59:58,3,874.2,杭州,男,18
U7021,夏江,P91818,乐高积木,玩具,36.03,2024-02-06 04:52:21,2,72.06,成都,男,32
U5073,董林富,P91351,羽毛球拍,运动,942.85,2024-12-12 18:32:19,4,3771.4,武汉,女,50
U3003,汤全栋,P37688,口红,美妆,96.93,2024-04-10 12:34:44,3,290.79,天津,男,61
U2937,纪涛,P16976,面霜,美妆,457.14,2024-06-24 18:48:09,3,1371.42,杭州,女,18
U9651,沈轮新,P31847,智能手表,电子产品,6065.58,2024-05-30 13:03:28,2,12131.16,武汉,女,21
U3915,史以裕,P40989,平板电脑,电子产品,905.94,2024-10-10 02:58:15,1,905.94,天津,男,44
U5962,彭力河,P51355,夹克,服装,329.81,2024-10-22 14:42:19,5,1649.05,苏州,女,21
U4827,强固浩,P87502,防晒霜,美妆,930.26,2024-09-09 07:49:10,3,2790.78,南京,女,32
U6422,齐建才,P14038,羽毛球拍,运动,274.96,2024-12-22 00:47:57,3,824.88,深圳,女,24
U4830,奚树栋,P60772,漫画,书籍,956.66,2024-09-24 00:10:37,1,956.66,武汉,女,58
U4527,闵之冠,P12679,笔记本电脑,电子产品,6799.5,2024-04-28 16:54:00,2,13599.0,深圳,男,40
U8687,喻海辰,P54456,防晒霜,美妆,665.21,2024-07-20 20:20:41,1,665.21,广州,男,19
U2904,朱庆,P80569,平板电脑,电子产品,8732.41,2024-01-12 18:43:15,1,8732.41,苏州,女,54
U5781,邓力清,P63234,漫画,书籍,552.03,2024-08-31 13:29:26,2,1104.06,苏州,男,32
U4077,皮坚,P40407,充电宝,电子产品,1165.67,2024-12-20 22:40:12,3,3497.01,杭州,男,19
U2942,蔡心达,P24066,历史书籍,书籍,863.41,2024-11-19 03:23:18,4,3453.64,上海,男,21
U2343,戴功胜,P53503,牛仔裤,服装,741.02,2024-08-17 14:17:59,5,3705.1,深圳,男,38
U8645,霍康士,P84961,桌游,玩具,214.03,2024-10-21 05:40:09,4,856.12,武汉,男,27
U8419,彭雄朋,P72256,科幻小说,书籍,451.8,2024-01-31 03:29:11,4,1807.2,苏州,女,35
U3111,邵军,P58786,餐桌,家居,4839.67,2024-02-09 18:37:14,5,24198.35,广州,男,41
U9268,柯轮坚,P82114,羽绒服,服装,711.86,2024-03-06 11:20:37,1,711.86,重庆,女,37
U9760,范杰敬,P71036,羽毛球拍,运动,399.18,2024-05-23 15:04:27,4,1596.72,成都,女,42
U2086,邵厚心,P24314,连衣裙,服装,534.99,2024-06-17 00:44:50,1,534.99,西安,男,43
U8172,宋平祥,P99609,沙发,家居,3057.12,2024-04-11 21:04:56,4,12228.48,杭州,女,40
U8389,纪绍轮,P27736,山地车,运动,191.79,2024-06-27 19:21:07,3,575.37,杭州,女,36
U8884,鲍楠政,P21457,心理学,书籍,434.97,2024-05-24 15:28:33,4,1739.88,武汉,女,21
U5958,邬河全,P99875,蓝牙耳机,电子产品,8693.07,2024-01-04 00:37:25,5,43465.35,广州,男,64
U3814,毕政辰,P19328,哑铃,运动,702.32,2024-08-03 19:20:15,3,2106.96,广州,女,49
U8952,缪炎诚,P29687,芭比娃娃,玩具,1000.17,2024-12-01 22:32:19,2,2000.34,西安,男,53
U7004,周超,P49116,羽毛球拍,运动,345.61,2024-12-24 05:04:21,5,1728.05,成都,男,41
U9954,邱松,P24713,办公椅,家居,4790.52,2024-08-28 05:40:38,5,23952.6,重庆,男,50
U3841,邓清,P69284,口红,美妆,753.67,2024-02-12 06:03:19,2,1507.34,北京,男,52
U8570,严新,P49091,篮球,运动,790.5,2024-02-16 23:32:48,4,3162.0,成都,女,53
U1083,韦进仁,P24088,篮球,运动,55.21,2024-06-02 00:30:57,2,110.42,西安,女,53
U6728,廉梁,P84290,遥控车,玩具,810.02,2024-02-06 06:29:45,1,810.02,天津,女,29
U4679,缪富翰,P76999,沙发,家居,2966.15,2024-10-17 20:57:18,4,11864.6,成都,女,45
U3255,卜伟航,P26834,智能手机,电子产品,1255.31,2024-04-03 04:42:32,5,6276.55,北京,女,42
U7361,左国松,P80396,哑铃,运动,196.85,2024-12-25 22:59:45,2,393.7,北京,男,44
U6692,计清,P84857,羽绒服,服装,183.33,2024-07-01 06:41:27,2,366.66,成都,男,38
U8599,平东树,P39847,运动鞋,服装,980.39,2024-10-29 13:18:51,3,2941.17,南京,男,56
U2368,吴胜风,P27271,显示器,电子产品,4305.91,2024-09-09 11:59:56,4,17223.64,深圳,男,65
U8838,高善,P14636,充电宝,电子产品,6687.7,2024-05-27 17:16:28,5,33438.5,武汉,男,59
U6555,薛进,P92210,瑜伽垫,运动,77.02,2024-10-20 16:59:04,2,154.04,广州,女,58
U8846,虞克,P77290,智能手机,电子产品,1048.14,2024-01-04 03:27:13,5,5240.7,深圳,女,48
U3928,任之飞,P73852,人物传记,书籍,979.28,2024-07-30 00:46:39,5,4896.4,深圳,男,30
U5685,褚安仁,P37442,遥控车,玩具,362.97,2024-08-08 16:51:53,3,1088.91,西安,女,65
U2639,朱发,P89586,餐桌,家居,259.26,2024-08-13 05:20:11,5,1296.3,上海,男,18
U5329,崔浩裕,P60467,T恤,服装,786.81,2024-09-21 22:40:42,1,786.81,苏州,男,40
U6189,石旭,P14132,智能手机,电子产品,9329.15,2024-06-11 08:46:02,1,9329.15,杭州,男,44
U8602,洪超东,P80146,办公椅,家居,2983.37,2024-01-11 08:24:41,3,8950.11,北京,男,25
U7090,樊波,P18002,心理学,书籍,366.83,2024-07-21 17:34:23,2,733.66,重庆,男,41
U7293,缪亨豪,P99855,面霜,美妆,168.34,2024-10-07 09:23:24,4,673.36,苏州,男,48
U7559,华民刚,P66239,卫衣,服装,927.83,2024-12-05 19:14:36,5,4639.15,上海,女,43
U8038,霍民康,P23427,人物传记,书籍,584.39,2024-05-10 12:13:18,1,584.39,北京,女,56
U2086,水言,P16283,办公椅,家居,4203.66,2024-03-31 11:35:07,2,8407.32,武汉,男,55
U3639,纪盛邦,P65247,餐桌,家居,601.76,2024-10-08 00:53:45,5,3008.8,西安,男,53
U9375,时清言,P68406,T恤,服装,188.6,2024-11-14 21:51:12,1,188.6,南京,男,36
U3275,毛泽旭,P57029,化妆刷套装,美妆,678.75,2024-02-02 19:50:04,3,2036.25,武汉,女,61
U7283,水栋谦,P30612,科幻小说,书籍,548.8,2024-11-19 11:00:14,2,1097.6,武汉,男,49
U3173,唐庆之,P61947,显示器,电子产品,7908.0,2024-09-01 03:22:39,4,31632.0,西安,男,48
U4704,柯杰世,P38599,蓝牙耳机,电子产品,6512.19,2024-08-17 18:31:13,2,13024.38,北京,女,27
U5180,殷进,P82705,毛绒玩具,玩具,912.01,2024-01-22 05:48:11,3,2736.03,北京,女,54
U9276,章东河,P84666,显示器,电子产品,10135.13,2024-06-22 19:55:48,2,20270.26,重庆,男,39
U5700,庞会,P22923,毛绒玩具,玩具,695.12,2024-06-15 22:08:13,3,2085.36,天津,女,37
U7036,齐信永,P92492,餐桌,家居,5053.58,2024-08-16 05:48:13,1,5053.58,成都,男,19
U7161,朱辉宏,P38146,科幻小说,书籍,92.04,2024-12-23 08:02:39,5,460.2,武汉,女,39
U9413,崔心义,P87913,漫画,书籍,707.69,2024-03-15 19:27:10,5,3538.45,杭州,男,52
U2125,骆炎林,P32438,漫画,书籍,928.05,2024-12-19 11:45:44,2,1856.1,深圳,女,61
U8568,施亨,P20151,拼图,玩具,682.23,2024-09-22 10:00:27,3,2046.69,天津,男,47
U8596,穆翔群,P96287,时尚杂志,书籍,378.83,2024-01-11 02:21:50,3,1136.49,天津,男,44
U9814,于诚成,P48705,瑜伽垫,运动,44.41,2024-10-31 18:59:11,5,222.05,北京,男,21
U8541,邹利栋,P57607,台灯,家居,4024.89,2024-08-24 03:54:38,4,16099.56,广州,女,28
U1203,元言,P23540,瑜伽垫,运动,906.96,2024-03-23 22:26:39,1,906.96,天津,男,58
U1394,柯天,P20514,办公椅,家居,3690.4,2024-02-05 00:55:01,5,18452.0,北京,女,32
U2666,韩和清,P81367,技术教材,书籍,303.15,2024-06-25 17:21:55,4,1212.6,西安,女,61
U3050,裘林天,P70635,桌游,玩具,812.28,2024-12-28 07:17:55,3,2436.84,成都,女,27
U9445,刁顺友,P95642,粉底液,美妆,707.3,2024-02-18 16:35:30,4,2829.2,成都,女,46
U3456,湛超厚,P33433,跑步鞋,运动,273.03,2024-07-01 18:18:47,2,546.06,成都,男,18
U6235,姚峰广,P49021,粉底液,美妆,462.06,2024-02-23 10:11:35,5,2310.3,天津,女,61
U2642,薛思,P48496,人物传记,书籍,85.09,2024-02-29 12:35:29,4,340.36,西安,男,23
U3544,吉明楠,P65731,显示器,电子产品,5397.33,2024-06-27 15:18:50,2,10794.66,苏州,男,52
U3969,明家宏,P42579,历史书籍,书籍,948.14,2024-08-08 17:54:15,4,3792.56,西安,男,24
U8319,宗安才,P81425,遥控车,玩具,808.72,2024-04-11 11:56:42,4,3234.88,成都,男,45
U9076,方翰豪,P15083,芭比娃娃,玩具,31.61,2024-01-20 19:07:59,3,94.83,武汉,女,29
U7775,童榕广,P39892,T恤,服装,115.11,2024-01-01 20:11:04,5,575.55,成都,女,37
U9147,凌诚富,P50846,漫画,书籍,195.85,2024-07-25 10:36:09,3,587.55,杭州,女,23
U2409,应风茂,P19926,哑铃,运动,880.3,2024-11-26 05:48:40,1,880.3,广州,男,19
U1970,洪俊,P44409,变形金刚,玩具,195.8,2024-09-08 12:36:15,2,391.6,重庆,女,35
U6185,奚盛祥,P73603,漫画,书籍,623.17,2024-04-19 22:02:00,3,1869.51,天津,男,47
U5967,计冠永,P10828,漫画,书籍,472.14,2024-12-26 16:30:55,2,944.28,天津,男,32
U2895,范坚,P71229,漫画,书籍,314.62,2024-07-04 03:18:59,1,314.62,重庆,女,39
U9855,贺波,P11671,羽绒服,服装,864.16,2024-02-13 13:30:18,3,2592.48,苏州,女,30
U3903,屈行新,P73223,心理学,书籍,405.23,2024-11-07 11:08:45,2,810.46,武汉,女,47
U5939,范义炎,P64175,瑜伽垫,运动,731.92,2024-02-13 21:29:23,5,3659.6,杭州,男,49
U7859,虞民承,P97017,羽绒服,服装,580.16,2024-04-25 03:26:17,1,580.16,天津,女,54
U3328,柳昌,P59490,跑步鞋,运动,135.45,2024-07-08 05:23:05,2,270.9,苏州,男,48
U7009,宋善致,P66086,沙发,家居,1274.16,2024-11-28 15:12:46,2,2548.32,广州,女,63
U7419,卫峰泽,P36594,口红,美妆,576.66,2024-12-30 16:05:09,1,576.66,天津,女,33
U7897,禹福中,P78676,智能手机,电子产品,4763.45,2024-07-07 17:20:39,3,14290.35,广州,女,57
U2875,崔进楠,P34060,漫画,书籍,486.03,2024-01-09 05:36:43,4,1944.12,武汉,男,37
U2842,湛伦树,P22259,运动鞋,服装,377.08,2024-08-14 22:00:11,1,377.08,成都,男,19
U3740,范江,P90558,蓝牙耳机,电子产品,4905.26,2024-09-10 21:52:36,5,24526.3,北京,女,57
U6340,倪辰健,P62640,连衣裙,服装,828.29,2024-04-19 22:25:17,1,828.29,西安,女,35
U2945,葛承奇,P70036,办公椅,家居,4812.18,2024-07-02 21:15:26,2,9624.36,天津,男,32
U7999,范炎家,P65648,智能手机,电子产品,3236.08,2024-03-30 08:52:40,4,12944.32,北京,男,53
U1298,包河,P89554,办公椅,家居,2504.78,2024-05-04 15:25:06,1,2504.78,广州,女,56
U8412,花安,P89534,T恤,服装,266.89,2024-05-13 12:36:18,1,266.89,西安,女,35
U9956,韩磊,P12264,哑铃,运动,860.13,2024-06-23 07:47:52,1,860.13,南京,男,38
U5001,平朗天,P46056,笔记本电脑,电子产品,9959.47,2024-10-25 19:21:44,2,19918.94,成都,女,38
U7295,孔克奇,P71186,乐高积木,玩具,837.1,2024-06-06 10:15:08,5,4185.5,天津,男,44
U5549,孙伯国,P22514,面霜,美妆,508.92,2024-07-24 14:48:45,5,2544.6,天津,女,51
U9963,王亨祥,P37517,连衣裙,服装,139.45,2024-09-27 11:14:10,1,139.45,北京,男,40
U7496,章和,P69446,连衣裙,服装,608.07,2024-10-25 16:41:25,2,1216.14,天津,女,27
U8288,万旭毅,P94705,变形金刚,玩具,195.27,2024-04-01 15:18:42,5,976.35,苏州,男,49
U3177,倪进辉,P89616,漫画,书籍,783.09,2024-08-17 11:04:20,4,3132.36,天津,男,28
U1567,窦鸣江,P57460,收纳盒,家居,4776.63,2024-10-25 22:57:13,2,9553.26,广州,女,27
U5325,殷德新,P38557,洗发水,美妆,573.87,2024-11-03 12:09:23,4,2295.48,武汉,男,26
U3837,韦新言,P30861,羽绒服,服装,111.39,2024-10-08 19:53:26,2,222.78,天津,男,25
U4492,经翔,P18372,卫衣,服装,361.14,2024-06-01 01:59:06,5,1805.7,杭州,女,33
U5753,雷和,P25575,羽毛球拍,运动,119.75,2024-06-17 14:10:55,4,479.0,成都,男,38
U6313,时河成,P51530,洗发水,美妆,310.05,2024-04-05 13:08:13,2,620.1,西安,男,63
U6151,盛海之,P52426,瑜伽垫,运动,450.94,2024-11-03 09:38:07,1,450.94,成都,男,37
U4567,项鹏思,P33688,餐桌,家居,1493.04,2024-05-10 22:33:56,1,1493.04,重庆,男,20
U5253,万行辰,P17274,牛仔裤,服装,530.92,2024-04-22 06:11:17,5,2654.6,成都,女,62
U5552,杨龙政,P75979,口红,美妆,336.36,2024-03-08 13:55:55,5,1681.8,西安,男,50
U1358,李致峰,P63686,沙发,家居,4125.49,2024-09-27 23:58:51,2,8250.98,苏州,女,26
U4699,邓天乐,P39398,拼图,玩具,705.09,2024-03-02 16:55:25,1,705.09,重庆,女,58
U9967,胡以诚,P54482,台灯,家居,3308.9,2024-05-01 05:36:30,2,6617.8,杭州,女,60
U6668,奚祥树,P71642,跑步鞋,运动,280.84,2024-10-17 01:54:12,5,1404.2,重庆,男,22
U3507,卜翔,P67716,沙发,家居,2586.44,2024-04-20 21:00:19,3,7759.32,广州,男,38
U9508,昝友,P52592,化妆刷套装,美妆,66.13,2024-07-20 20:34:19,2,132.26,北京,女,23
U1080,苗发安,P87131,四件套,家居,2331.83,2024-04-17 13:50:19,4,9327.32,杭州,女,33
U7564,鲁先杰,P11817,化妆刷套装,美妆,36.89,2024-06-04 23:56:28,2,73.78,苏州,女,59
U9029,康承义,P10758,篮球,运动,545.05,2024-03-16 09:56:27,3,1635.15,深圳,女,65
U2456,刁东政,P42382,跳绳,运动,275.02,2024-04-07 17:05:03,5,1375.1,上海,女,19
U4593,殷东辉,P71064,羽毛球拍,运动,219.57,2024-11-09 13:04:33,3,658.71,天津,男,33
U2631,舒松,P37018,T恤,服装,566.48,2024-02-02 06:12:36,2,1132.96,深圳,男,39
U5653,祁学顺,P33161,T恤,服装,685.56,2024-06-18 02:11:05,4,2742.24,西安,女,20
U2986,龚安,P17545,时尚杂志,书籍,334.41,2024-08-15 22:01:19,2,668.82,西安,男,19
U8820,骆发政,P68695,防晒霜,美妆,986.0,2024-05-17 17:33:05,1,986.0,北京,女,36
U3521,吴生,P13716,哑铃,运动,338.33,2024-03-24 22:45:35,5,1691.65,成都,男,21
U3649,卜博炎,P43775,毛绒玩具,玩具,147.22,2024-07-31 17:46:46,4,588.88,天津,男,47
U2016,郭德飞,P37655,粉底液,美妆,516.32,2024-06-27 19:42:06,3,1548.96,北京,男,36
U2760,季泽晨,P20526,漫画,书籍,598.9,2024-03-25 07:00:03,2,1197.8,北京,女,35
U1400,岑致,P13043,粉底液,美妆,315.76,2024-10-29 06:22:42,5,1578.8,苏州,男,60
U4083,左坚弘,P39024,遥控车,玩具,207.48,2024-10-03 10:42:08,3,622.44,上海,男,30
U3276,许茂福,P31141,芭比娃娃,玩具,133.86,2024-05-07 14:26:50,3,401.58,南京,女,37
U7439,凤河,P87384,蓝牙耳机,电子产品,1885.69,2024-04-05 10:59:47,3,5657.07,苏州,女,43
U9295,娄勇以,P46019,夹克,服装,448.77,2024-05-12 19:11:32,5,2243.85,上海,女,29
U7710,朱伟,P28097,篮球,运动,625.88,2024-08-26 09:05:07,4,2503.52,北京,男,57
U5036,缪言,P97803,蓝牙耳机,电子产品,3355.52,2024-02-12 16:58:26,1,3355.52,天津,男,45
U4503,禹先若,P64099,面霜,美妆,35.53,2024-11-14 00:21:09,4,142.12,西安,男,40
U5866,房晨泰,P32327,T恤,服装,577.63,2024-04-23 01:11:59,2,1155.26,武汉,男,21
U4163,邵中,P83480,办公椅,家居,1016.42,2024-08-14 15:16:03,2,2032.84,广州,男,63
U7910,万康,P94638,显示器,电子产品,2843.43,2024-07-06 19:09:09,4,11373.72,上海,男,52
U3949,贾翰峰,P48496,跑步鞋,运动,506.51,2024-03-23 18:05:08,2,1013.02,深圳,女,32
U6396,酆壮泽,P50889,运动鞋,服装,845.92,2024-11-19 13:41:58,3,2537.76,广州,男,28
U8982,唐友军,P57010,漫画,书籍,497.91,2024-12-28 08:16:29,3,1493.73,苏州,男,51
U8216,路宁清,P29498,香水,美妆,284.23,2024-12-22 05:56:39,2,568.46,成都,男,45
U9823,颜伟辰,P49622,收纳盒,家居,1260.2,2024-03-20 16:28:04,2,2520.4,重庆,男,40
U1036,伏富浩,P75820,口红,美妆,497.59,2024-05-27 22:27:27,2,995.18,重庆,女,59
U4871,颜裕,P84755,牛仔裤,服装,210.99,2024-03-25 06:09:10,2,421.98,西安,女,53
U8849,舒安,P72110,餐桌,家居,3980.39,2024-07-12 16:01:04,2,7960.78,重庆,男,44
U8324,施翔强,P64034,桌游,玩具,565.21,2024-12-16 02:31:18,3,1695.63,广州,男,28
U6471,贝盛钧,P79206,遥控车,玩具,268.25,2024-06-23 07:02:57,3,804.75,天津,男,64
U9843,舒良,P48183,心理学,书籍,883.3,2024-04-10 11:19:05,2,1766.6,西安,女,40
U1727,盛琛,P74808,时尚杂志,书籍,157.45,2024-12-17 03:28:13,3,472.35,天津,女,28
U6096,石盛,P55224,运动鞋,服装,164.97,2024-02-15 23:40:56,5,824.85,杭州,女,50
U1687,乐震全,P52197,防晒霜,美妆,278.96,2024-04-24 13:01:05,2,557.92,深圳,男,52
U6659,钮辰豪,P93997,洗发水,美妆,50.31,2024-04-12 22:27:25,1,50.31,成都,男,25
U8380,贾壮,P99718,历史书籍,书籍,1002.45,2024-07-06 05:30:38,3,3007.35,北京,女,44
U7795,贾伟贵,P28033,防晒霜,美妆,621.36,2024-02-10 00:51:49,4,2485.44,广州,女,45
U1104,姜榕亨,P13808,粉底液,美妆,50.43,2024-07-13 15:08:07,4,201.72,重庆,女,20
U1723,姜浩彬,P96722,四件套,家居,4126.46,2024-05-15 14:48:56,1,4126.46,北京,女,58
U8388,姚乐冠,P76485,四件套,家居,152.36,2024-12-06 19:53:59,5,761.8,广州,男,27
U5904,石功德,P26843,智能手表,电子产品,919.1,2024-09-05 18:20:44,2,1838.2,北京,女,19
U3666,丁毅,P90307,跑步鞋,运动,605.41,2024-12-11 23:46:08,4,2421.64,杭州,女,65
U2235,梅子生,P22103,遥控车,玩具,660.47,2024-09-09 15:51:03,4,2641.88,天津,女,32
